ERROR: Unable to locate a modulefile for 'eb'
learning_rate : 0.0001
max_steps : 5000
batch_size : 32
eval_freq : 500
data_dir : ./cifar10/cifar-10-batches-py
--------------Convnet initialized------------
epoch 1 avg accuracy on training data: 0.29226647472808703
epoch 2 avg accuracy on training data: 0.40641005121638923
epoch 3 avg accuracy on training data: 0.45116437259923176
epoch 4 avg accuracy on training data: 0.4798335467349552
epoch 5 avg accuracy on training data: 0.49993998079385404
epoch 6 avg accuracy on training data: 0.5132642445582587
epoch 7 avg accuracy on training data: 0.5248079385403329
epoch 8 avg accuracy on training data: 0.5339108514724712
epoch 9 avg accuracy on training data: 0.5429137323943662
epoch 10 avg accuracy on training data: 0.5496558898847631
epoch 11 avg accuracy on training data: 0.5566581306017926
epoch 12 avg accuracy on training data: 0.5615396927016645
epoch 13 avg accuracy on training data: 0.5649207746478874
epoch 14 avg accuracy on training data: 0.5654209346991037
epoch 15 avg accuracy on training data: 0.5707226312419974
epoch 16 avg accuracy on training data: 0.5730433738796414
epoch 17 avg accuracy on training data: 0.5743637964148528
epoch 18 avg accuracy on training data: 0.5760243277848912
epoch 19 avg accuracy on training data: 0.5767045454545454
epoch 20 avg accuracy on training data: 0.5774047695262484
epoch 21 avg accuracy on training data: 0.5797055057618438
epoch 22 avg accuracy on training data: 0.579925576184379
epoch 23 avg accuracy on training data: 0.5819862355953905
epoch 24 avg accuracy on training data: 0.581025928297055
epoch 25 avg accuracy on training data: 0.5822863316261203
epoch 26 avg accuracy on training data: 0.5829265364916774
epoch 27 avg accuracy on training data: 0.5828064980793854
epoch 28 avg accuracy on training data: 0.5834867157490397
epoch 29 avg accuracy on training data: 0.584627080665813
epoch 30 avg accuracy on training data: 0.5846070742637645
epoch 31 avg accuracy on training data: 0.5845870678617158
epoch 32 avg accuracy on training data: 0.5849871959026889
epoch 33 avg accuracy on training data: 0.5852472791293214
epoch 34 avg accuracy on training data: 0.5855673815620999
epoch 35 avg accuracy on training data: 0.5866477272727273
epoch 36 avg accuracy on training data: 0.5872079065300896
epoch 37 avg accuracy on training data: 0.587247919334187
epoch 38 avg accuracy on training data: 0.5868077784891165
epoch 39 avg accuracy on training data: 0.587067861715749
epoch 40 avg accuracy on training data: 0.5883082586427657
epoch 41 avg accuracy on training data: 0.5879081306017926
epoch 42 avg accuracy on training data: 0.5882282330345711
epoch 43 avg accuracy on training data: 0.5883682778489117
epoch 44 avg accuracy on training data: 0.5883682778489117
epoch 45 avg accuracy on training data: 0.5882282330345711
epoch 46 avg accuracy on training data: 0.5887083866837388
epoch 47 avg accuracy on training data: 0.5887884122919335
epoch 48 avg accuracy on training data: 0.5886683738796414
epoch 49 avg accuracy on training data: 0.5893085787451985
epoch 50 avg accuracy on training data: 0.5898287451984635
epoch 51 avg accuracy on training data: 0.5885683418693982
epoch 52 avg accuracy on training data: 0.5897687259923176
epoch 53 avg accuracy on training data: 0.5892885723431498
epoch 54 avg accuracy on training data: 0.5899687900128041
epoch 55 avg accuracy on training data: 0.5902888924455826
epoch 56 avg accuracy on training data: 0.590789052496799
epoch 57 avg accuracy on training data: 0.5901288412291933
epoch 58 avg accuracy on training data: 0.5901288412291933
epoch 59 avg accuracy on training data: 0.5902888924455826
epoch 60 avg accuracy on training data: 0.5900688220230473
epoch 61 avg accuracy on training data: 0.5905089628681178
epoch 62 avg accuracy on training data: 0.5910291293213829
epoch 63 avg accuracy on training data: 0.5905889884763125
epoch 64 avg accuracy on training data: 0.5909891165172856
epoch 65 avg accuracy on training data: 0.590849071702945
epoch 66 avg accuracy on training data: 0.5903289052496798
epoch 67 avg accuracy on training data: 0.5914092509603073
epoch 68 avg accuracy on training data: 0.5911691741357235
epoch 69 avg accuracy on training data: 0.5912491997439181
epoch 70 avg accuracy on training data: 0.5910091229193342
epoch 71 avg accuracy on training data: 0.5910691421254801
epoch 72 avg accuracy on training data: 0.5909290973111395
epoch 73 avg accuracy on training data: 0.59136923815621
epoch 74 avg accuracy on training data: 0.5910291293213829
epoch 75 avg accuracy on training data: 0.5906890204865557
epoch 76 avg accuracy on training data: 0.5920894686299616
epoch 77 avg accuracy on training data: 0.5912091869398207
epoch 78 avg accuracy on training data: 0.5909290973111395
epoch 79 avg accuracy on training data: 0.5915292893725992
epoch 80 avg accuracy on training data: 0.5915893085787451
epoch 81 avg accuracy on training data: 0.5912291933418694
epoch 82 avg accuracy on training data: 0.5918693982074263
epoch 83 avg accuracy on training data: 0.5916493277848912
epoch 84 avg accuracy on training data: 0.5918093790012804
epoch 85 avg accuracy on training data: 0.5920694622279129
epoch 86 avg accuracy on training data: 0.5915893085787451
epoch 87 avg accuracy on training data: 0.591429257362356
epoch 88 avg accuracy on training data: 0.5920694622279129
epoch 89 avg accuracy on training data: 0.5917893725992317
epoch 90 avg accuracy on training data: 0.5921094750320103
epoch 91 avg accuracy on training data: 0.5915492957746479
epoch 92 avg accuracy on training data: 0.5919294174135723
epoch 93 avg accuracy on training data: 0.5923095390524968
epoch 94 avg accuracy on training data: 0.5926296414852753
epoch 95 avg accuracy on training data: 0.5923895646606914
epoch 96 avg accuracy on training data: 0.592469590268886
epoch 97 avg accuracy on training data: 0.5925896286811779
epoch 98 avg accuracy on training data: 0.5926096350832266
epoch 99 avg accuracy on training data: 0.592529609475032
epoch 100 avg accuracy on training data: 0.5922695262483995
epoch 101 avg accuracy on training data: 0.5925496158770807
epoch 102 avg accuracy on training data: 0.5923895646606914
epoch 103 avg accuracy on training data: 0.6878601152368758
epoch 104 avg accuracy on training data: 0.6911211587708067
epoch 105 avg accuracy on training data: 0.6910011203585147
epoch 106 avg accuracy on training data: 0.6909611075544174
epoch 107 avg accuracy on training data: 0.6910611395646606
epoch 108 avg accuracy on training data: 0.6920014404609475
epoch 109 avg accuracy on training data: 0.6912011843790012
epoch 110 avg accuracy on training data: 0.6920214468629962
epoch 111 avg accuracy on training data: 0.691741357234315
epoch 112 avg accuracy on training data: 0.691621318822023
epoch 113 avg accuracy on training data: 0.6912812099871959
epoch 114 avg accuracy on training data: 0.6926816581306018
epoch 115 avg accuracy on training data: 0.6920614596670934
epoch 116 avg accuracy on training data: 0.6924815941101152
epoch 117 avg accuracy on training data: 0.6924815941101152
epoch 118 avg accuracy on training data: 0.6920014404609475
epoch 119 avg accuracy on training data: 0.6919214148527529
epoch 120 avg accuracy on training data: 0.6925616197183099
epoch 121 avg accuracy on training data: 0.6920214468629962
epoch 122 avg accuracy on training data: 0.6927816901408451
epoch 123 avg accuracy on training data: 0.692721670934699
epoch 124 avg accuracy on training data: 0.6926216389244558
epoch 125 avg accuracy on training data: 0.6924815941101152
epoch 126 avg accuracy on training data: 0.6929217349551856
epoch 127 avg accuracy on training data: 0.6925816261203586
epoch 128 avg accuracy on training data: 0.6931017925736236
epoch 129 avg accuracy on training data: 0.6926616517285531
epoch 130 avg accuracy on training data: 0.6928016965428937
epoch 131 avg accuracy on training data: 0.6926216389244558
epoch 132 avg accuracy on training data: 0.6931818181818182
epoch 133 avg accuracy on training data: 0.6927616837387964
epoch 134 avg accuracy on training data: 0.6934218950064021
epoch 135 avg accuracy on training data: 0.6930417733674776
epoch 136 avg accuracy on training data: 0.6929417413572343
epoch 137 avg accuracy on training data: 0.6930817861715749
epoch 138 avg accuracy on training data: 0.6928217029449424
epoch 139 avg accuracy on training data: 0.6929817541613317
epoch 140 avg accuracy on training data: 0.6931818181818182
epoch 141 avg accuracy on training data: 0.6929817541613317
epoch 142 avg accuracy on training data: 0.6926816581306018
epoch 143 avg accuracy on training data: 0.6937820102432779
epoch 144 avg accuracy on training data: 0.6935019206145967
epoch 145 avg accuracy on training data: 0.6928417093469911
epoch 146 avg accuracy on training data: 0.6932018245838668
epoch 147 avg accuracy on training data: 0.6932018245838668
epoch 148 avg accuracy on training data: 0.6932018245838668
epoch 149 avg accuracy on training data: 0.6933818822023048
epoch 150 avg accuracy on training data: 0.6933818822023048
epoch 151 avg accuracy on training data: 0.6936019526248399
epoch 152 avg accuracy on training data: 0.6929217349551856
epoch 153 avg accuracy on training data: 0.6933418693982074
epoch 154 avg accuracy on training data: 0.6935219270166453
epoch 155 avg accuracy on training data: 0.6936819782330346
epoch 156 avg accuracy on training data: 0.6937820102432779
epoch 157 avg accuracy on training data: 0.6930217669654289
epoch 158 avg accuracy on training data: 0.6939420614596671
epoch 159 avg accuracy on training data: 0.6931418053777209
epoch 160 avg accuracy on training data: 0.6936819782330346
epoch 161 avg accuracy on training data: 0.6934419014084507
epoch 162 avg accuracy on training data: 0.6933618758002561
epoch 163 avg accuracy on training data: 0.6935019206145967
epoch 164 avg accuracy on training data: 0.6940420934699104
epoch 165 avg accuracy on training data: 0.6936819782330346
epoch 166 avg accuracy on training data: 0.693481914212548
epoch 167 avg accuracy on training data: 0.6931418053777209
epoch 168 avg accuracy on training data: 0.6930617797695262
epoch 169 avg accuracy on training data: 0.6935819462227913
epoch 170 avg accuracy on training data: 0.6943621959026889
epoch 171 avg accuracy on training data: 0.6934419014084507
epoch 172 avg accuracy on training data: 0.6944622279129321
epoch 173 avg accuracy on training data: 0.6938420294494239
epoch 174 avg accuracy on training data: 0.6936219590268886
epoch 175 avg accuracy on training data: 0.6942221510883483
epoch 176 avg accuracy on training data: 0.6938020166453265
epoch 177 avg accuracy on training data: 0.6934218950064021
epoch 178 avg accuracy on training data: 0.6938820422535211
srun: Job step aborted: Waiting up to 32 seconds for job step to finish.
slurmstepd: error: *** JOB 3935887 ON r30n1 CANCELLED AT 2019-11-13T12:31:05 DUE TO TIME LIMIT ***
slurmstepd: error: *** STEP 3935887.0 ON r30n1 CANCELLED AT 2019-11-13T12:31:05 DUE TO TIME LIMIT ***
